Index,Index,autores,data_apresentacao,ementa,proposicao,situacoes,urls
31,31," Julio Lopes - PP/RJ,Cristiane Brasil - PTB/RJ,Wilson Beserra - PMDB/RJ,Luiz Carlos Ramos - PTN/RJ,Deley - PTB/RJ,Washington Reis - PMDB/RJ,Sóstenes Cavalcante - DEM/RJ,Marcos Soares - DEM/RJ,Marcelo Matos - PHS/RJ,Otavio Leite - PSDB/RJ,Rodrigo Maia - DEM/RJ,Celso Jacob - PMDB/RJ,Fernando Jordão - PMDB/RJ,Laura Carneiro - PMDB/RJ,Cabo Daciolo - PTdoB/RJ,Rosangela Gomes - PRB/RJ,Hugo Leal - PSB/RJ,Felipe Bornier - PROS/RJ,Roberto Sales - PRB/RJ,Aureo - SD/RJ,Chico Alencar - PSOL/RJ,Jair Bolsonaro - PSC/RJ,Francisco Floriano - DEM/RJ,Altineu Côrtes - PMDB/RJ,Alexandre Valle - PR/RJ,Alexandre Serfiotis - PMDB/RJ,Paulo Feijó - PR/RJ,Dr. João - PR/RJ,Marquinho Mendes - PMDB/RJ,Ezequiel Teixeira - PTN/RJ,Simão Sessim - PP/RJ.",2016-04-06,"Sugere ao Ministro do Desenvolvimento, Indústria e Comércio adoção de providências no sentido de prestar apoio institucional para a criação da Zona de Processamento de Exportação (ZPE) do Porto de Açu no município de São João da Barra, no Estado do Rio de Janeiro.",INC-2195/2016,Aguardando Resposta ,Prop_Detalhe.asp?id=2081606
32,32, Jair Bolsonaro - PP/RJ.,2016-03-03,"Acresce parágrafo único ao art. 88 da Constituição Federal, para determinar que o Ministro de Estado da Defesa seja escolhido entre os Oficiais Generais das Forças Armadas.",PEC-191/2016,Aguardando Parecer,Prop_Detalhe.asp?id=2078691
33,33, Jair Bolsonaro - PP/RJ.,2016-02-23,Dispõe sobre o uso compassivo da fosfoetanolamina sintética por parte de pacientes com câncer.,PL-4510/2016,Arquivada,Prop_Detalhe.asp?id=2077766
34,34," Adelmo Carneiro Leão - PT/MG,Arlindo Chinaglia - PT/SP,Carmen Zanotto - PPS/SC,Eduardo Bolsonaro - PSC/SP,Jair Bolsonaro - PP/RJ,Paulo Foletto - PSB/ES,Antônio Jácome - PMN/RN,Diego Garcia - PHS/PR,Conceição Sampaio - PP/AM,Dulce Miranda - PMDB/TO,Eduardo Barbosa - PSDB/MG,Miguel Lombardi - PR/SP,Zenaide Maia - PR/RN,Laura Carneiro - PMDB/RJ,Weliton Prado - PMB/MG,Professora Dorinha Seabra Rezende - DEM/TO,Flavio Nogueira - PDT/PI,Celso Russomanno - PRB/SP.",2016-03-08,Autoriza o uso da fosfoetanolamina sintética por pacientes diagnosticados com neoplasia maligna,PL-4639/2016,Transformado em Norma Jurídica,Prop_Detalhe.asp?id=2078864
35,35, Jair Bolsonaro - PSC/RJ.,2016-03-09,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal, para dispor sobre o furto, roubo, dano e receptação de defensivos agrícolas, seus componentes e afins.",PL-4689/2016,Tramitando em Conjunto,Prop_Detalhe.asp?id=2079129
36,36," Jair Bolsonaro - PSC/RJ,Eduardo Bolsonaro - PSC/SP.",2016-03-15,"Altera a Lei nº 8.072, de 25 de julho de 1990, para incluir no rol dos crimes hediondos aqueles dolosos, praticados com arma de fogo, mediante violência ou grave ameaça à pessoa.",PL-4730/2016,Tramitando em Conjunto,Prop_Detalhe.asp?id=2079534
37,37, Jair Bolsonaro - PSC/RJ.,2016-07-13,"Dispõe sobre as ações contraterroristas e dá outras providências. Explicação: Altera as Leis nº  10.257, de 2001 e 9.807, de  1999.",PL-5825/2016,Aguardando Designação de Relator,Prop_Detalhe.asp?id=2091838
38,38, Jair Bolsonaro - PSC/RJ.,2016-07-14,"Revoga a Lei 13.290, de 23 de maio de 2016, para deixar de tornar obrigatório o uso, nas rodovias, de farol baixo aceso durante o dia.",PL-5847/2016,Tramitando em Conjunto,Prop_Detalhe.asp?id=2092102
39,39, Jair Bolsonaro - PSC/RJ.,2016-08-23,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal, para dispor sobre o crime de obstrução do trânsito de qualquer natureza nas vias terrestres do território nacional.",PL-6021/2016,Tramitando em Conjunto,Prop_Detalhe.asp?id=2095044
40,40," Eduardo Bolsonaro - PSC/SP,Jair Bolsonaro - PSC/RJ.",2016-12-14,"Acrescenta o artigo 255-A ao Código de Trânsito Brasileiro, instituído pela Lei nº 9.503, de 23 de setembro de 1997, para isentar de penalidades condutores de veículos em serviço de segurança pública e urgência, na forma que especifica.",PL-6687/2016,Aguardando Designação de Relator,Prop_Detalhe.asp?id=2121112
41,41," Jair Bolsonaro - PSC/RJ,Subtenente Gonzaga - PDT/MG.",2016-08-23,"Requer o encaminhamento de consulta ao Tribunal de Contas da União, visando à manifestação daquela Corte quanto à possibilidade de aplicação da Lei nº 12.158, de 28 de dezembro de 2009, concomitantemente ao disposto no art. 34 da Medida Provisória nº 2.215-10, de 31 de agosto de 2001.",REQ-165/2016 CREDN,Arquivada,Prop_Detalhe.asp?id=2095043
42,42, Jair Bolsonaro - PSC/RJ.,2016-03-22,Requer a retirada de assinatura da Frente Parlamentar Franco Montoro em Defesa do Parlamentarismo.,REQ-4191/2016 => REQ-2261/2015,,Prop_Detalhe.asp?id=2080238
43,43," Eduardo Bolsonaro - PSC/SP,Jair Bolsonaro - PSC/RJ.",2016-08-23,"Requer a inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 308, de 2004, que altera a redação dos artigos 21, 32 e 144, da Constituição Federal, criando as polícias penitenciárias federal e estaduais.",REQ-5094/2016 => PEC-308/2004,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=2095072
44,44, Jair Bolsonaro - PP/RJ.,2016-03-01,"Solicita informações ao Senhor Ministro de Estado da Cultura sobre doações e patrocínios realizados com base no disposto na Lei nº 8.313, de 23 de dezembro de 1991 (Lei Rouanet).",RIC-1581/2016,Aguardando Definição Encaminhamento,Prop_Detalhe.asp?id=2078401
45,45, Jair Bolsonaro - PSC/RJ.,2016-03-09,"Solicita informações à Senhora Ministra de Estado das Mulheres, Igualdade Racial e Direitos Humanos, quanto às despesas decorrentes das Conferências Nacionais convocadas por meio do Decreto de 18 de novembro de 2015, publicado na Seção 1 do Diário Oficial da União nº 221, de 19 de novembro de 2015.",RIC-1613/2016,Aguardando Definição Encaminhamento,Prop_Detalhe.asp?id=2079130
46,46, Jair Bolsonaro - PSC/RJ.,2016-03-09,"Solicita informações ao senhor Ministro de Estado de Minas e Energia quanto à exploração de jazidas de potássio, nos quesitos que especifica.",RIC-1614/2016,Aguardando Definição Encaminhamento,Prop_Detalhe.asp?id=2079131
47,47, Jair Bolsonaro - PSC/RJ.,2016-06-01,"Solicita informações ao Senhor Ministro de Estado da Defesa sobre voos realizados em aeronaves oficiais, nos trajetos entre Brasil, Cuba, Venezuela e Uruguai, nos últimos 5 anos.",RIC-1784/2016,Aguardando Definição Encaminhamento,Prop_Detalhe.asp?id=2086423
48,48, Jair Bolsonaro - PSC/RJ.,2016-07-14,"Solicita informações ao Senhor Ministro de Estado da Defesa sobre o posicionamento daquela pasta acerca da obrigatoriedade de submissão dos militares inativos das Forças Armadas aos testes de avaliação de aptidão psicológica a que faz menção o inciso III do caput art. 4º da Lei nº 10.826, de 2003.",RIC-2031/2016,,Prop_Detalhe.asp?id=2092188
49,49, Jair Bolsonaro - PSC/RJ.,2016-09-19,"Solicita informações ao senhor Ministro de Estado de Minas e Energia quanto à exploração de jazidas de nióbio, nos quesitos que especifica.",RIC-2272/2016,Aguardando Deliberação,Prop_Detalhe.asp?id=2112132
50,50, Jair Bolsonaro - PP/RJ e outros.,2015-03-06,"Inclua-se na Proposta de Emenda à Constituição 344-A, de 2013, onde couber, o seguinte artigo, renumerando-se os demais:",EMC-10/2015 PEC18207 => PEC-344/2013,,Prop_Detalhe.asp?id=969174
51,51, Jair Bolsonaro - PP/RJ.,2015-02-05,Dá nova redação à MPV 664/2014,EMC-170/2015 MPV66414 => MPV-664/2014,,Prop_Detalhe.asp?id=1229160
52,52, Jair Bolsonaro - PP/RJ.,2015-02-05,Dá nova redação à MPV 664/2014,EMC-173/2015 MPV66414 => MPV-664/2014,,Prop_Detalhe.asp?id=1229163
53,53, Jair Bolsonaro - PP/RJ.,2015-02-05,Dá nova redação à MPV 664/2014,EMC-174/2015 MPV66414 => MPV-664/2014,,Prop_Detalhe.asp?id=1229164
54,54, Jair Bolsonaro - PP/RJ.,2015-02-05,Dá nova redação à MPV 664/2014,EMC-175/2015 MPV66414 => MPV-664/2014,,Prop_Detalhe.asp?id=1229165
