Index,Index,autores,data_apresentacao,ementa,proposicao,situacoes,urls
274,274, Jair Bolsonaro - PP/RJ.,2007-06-26,Requer o desarquivamento de proposição.,REQ-1221/2007 => PRC-60/2003,Arquivada,Prop_Detalhe.asp?id=357217
275,275, Jair Bolsonaro - PP/RJ e outros.,2007-11-13,"solicitam a convocação do Sr. Ministro de Estado do Planejamento, Orçamento e Gestão para prestar esclarecimentos a esta Comissão sobre a situação da remuneração dos militares federais e, em especial, sobre a real previsão de reajustes e recomposição das perdas salariais.",REQ-123/2007 CREDN,Arquivada,Prop_Detalhe.asp?id=376470
276,276, Jair Bolsonaro - PP/RJ.,2007-02-13,Requer o desarquivamento de proposições.,REQ-240/2007,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=340657
277,277, Jair Bolsonaro - PP/RJ.,2007-05-23,"Solicita seja convocado o Sr. Ministro de Estado da Defesa para prestar esclarecimentos a esta Comissão sobre a situação da remuneração dos militares federais e, em especial, sobre a Medida Provisória nº 2.215-10, de 2001.",REQ-48/2007 CREDN,Arquivada,Prop_Detalhe.asp?id=352568
278,278, Jair Bolsonaro - PP/RJ.,2006-03-08,"Concede isenção do Imposto de Renda aos funcionários públicos efetivos que, tendo preenchido as condições para aposentadoria com proventos integrais, optem por permanecer em atividade.",EMC-1/2006 CTASP => PL-5915/2005,Arquivada,Prop_Detalhe.asp?id=316677
279,279, Jair Bolsonaro - PP/RJ.,2006-07-03,Acrescente-se onde couber artigo à MPV,EMC-2/2006 MPV30606 => MPV-306/2006,,Prop_Detalhe.asp?id=331683
280,280, Jair Bolsonaro - PP/RJ e outros.,2006-04-06,Acrescenta um artigo ao texto da MPV 288/06.,EMC-23/2006 MPV28806 => MPV-288/2006,,Prop_Detalhe.asp?id=320891
281,281, Jair Bolsonaro - PP/RJ.,2006-04-04,Altera o texto da MPV 288/06.,EMC-26/2006 MPV28806 => MPV-288/2006,,Prop_Detalhe.asp?id=320912
282,282, Jair Bolsonaro - PP/RJ.,2006-03-07,Dispõe sobre o salário mínimo a partir de 1º de abril de 2006.,EMC-3/2006 CTASP => PL-6601/2006,Arquivada,Prop_Detalhe.asp?id=322119
283,283, Jair Bolsonaro - PP/RJ.,2006-07-03,Acrescente-se onde couber artigo à MPV,EMC-3/2006 MPV30606 => MPV-306/2006,,Prop_Detalhe.asp?id=331684
284,284, Jair Bolsonaro - PP/RJ.,2006-03-07,Dispõe sobre o salário mínimo a partir de 1º de abril de 2006.,EMC-4/2006 CTASP => PL-6601/2006,Arquivada,Prop_Detalhe.asp?id=322120
285,285, Jair Bolsonaro - PP/RJ.,2006-07-03,Acrescente-se onde couber artigo à MPV,EMC-4/2006 MPV30606 => MPV-306/2006,,Prop_Detalhe.asp?id=331685
286,286, Jair Bolsonaro - PP/RJ.,2006-03-22,"Sugere ao Ministério da Defesa encaminhamento ao Chefe do Poder Executivo de Proposta de alteração do Estatuto dos Militares das Forças Armadas - Lei nº 6.880 de 9 de dezembro de 1980. Explicação: Substitui o termo "" reserva remunerada"" por ""inatividade remunerada"".",INC-8194/2006,Arquivada,Prop_Detalhe.asp?id=318255
287,287, Jair Bolsonaro - PP/RJ.,2006-01-24,"Acrescenta o inciso XI ao art. 6º, da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre o registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Autoriza o porte de arma aos integrantes do quadro efetivo das Guardas Judiciárias.",PL-6540/2006,Arquivada,Prop_Detalhe.asp?id=312298
288,288, Jair Bolsonaro - PP/RJ.,2006-03-08,"Dá nova redação ao art. 1º da Lei nº 5.315, de 12 de setembro de 1967, que dispõe sobre os ex-combatentes da 2ª Guerra Mundial. Explicação: Garante ao militar que não tenha regressado à vida civil após o conflito os direitos de ex-combatente.",PL-6696/2006,Arquivada,Prop_Detalhe.asp?id=316743
289,289, Jair Bolsonaro - PP/RJ.,2006-04-12,"Altera a redação das alíneas ""a"" e ""d"" do inciso VI, do art. 2º, da Lei nº 8.745, de 9 de dezembro de 1993, que ""dispõe sobre a contratação por tempo determinado para atender a necessidade temporária de excepcional interesse público, nos termos do inciso IX do art. 37 da Constituição Federal, e dá outras providências"". Explicação: Possibilita a contração por tempo determinado de profissionais para atuação nos Hospitais e Organizações Militares de Saúde, além da área de administração de pessoal das Forças Armadas.",PL-6906/2006,Pronta para Pauta,Prop_Detalhe.asp?id=320487
290,290, Jair Bolsonaro - PP/RJ.,2006-05-17,"Altera a redação do art. 86 da Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro. Explicação: Proíbe  o uso de dispositivos sonoros, nas vias públicas,  para identificação dos locais de entrada e saída de veículos.",PL-7048/2006,Arquivada,Prop_Detalhe.asp?id=324625
291,291, Jair Bolsonaro - PP/RJ.,2006-05-17,"Autoriza o Poder Executivo a criar um Colégio Militar no Município de Resende, no Estado do Rio de Janeiro.",PL-7049/2006,Arquivada,Prop_Detalhe.asp?id=324627
292,292, Jair Bolsonaro - PP/RJ.,2006-05-17,"Autoriza o Poder Executivo a criar um Colégio Militar no Bairro de Realengo, Município do Rio de Janeiro, capital do Estado do Rio de Janeiro.",PL-7050/2006,Arquivada,Prop_Detalhe.asp?id=324629
293,293, Jair Bolsonaro - PP/RJ.,2006-05-31,"Acresce § 7º ao art. 115 da Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro. Explicação: Obriga a gravação do número da placa do veículo nos vidros dianteiros e traseiros.",PL-7148/2006,Arquivada,Prop_Detalhe.asp?id=326426
294,294, Jair Bolsonaro - PP/RJ.,2006-05-31,"Dá nova redação ao inciso IV e acresce o inciso IX ao art. 244 da Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro. Explicação: Caracteriza como infração gravíssima a direção de motocicleta com farol apagado durante a noite e como infração média durante o dia.",PL-7149/2006,Aguardando Apreciação pelo Senado Federal,Prop_Detalhe.asp?id=326428
295,295, Jair Bolsonaro - PP/RJ.,2006-05-31,"Altera a redação do  inciso I, do art. 41 da Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências, assegurando o reajustamento em percentual igual ou superior à variação da receita corrente líquida - RCL da União no ano anterior.",PL-7150/2006,Arquivada,Prop_Detalhe.asp?id=326429
296,296, Jair Bolsonaro - PP/RJ.,2006-05-31,"Altera a redação do  inciso I, do art. 41 da Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências, assegurando o reajustamento em percentual igual ou superior ao concedido ao salário mínimo na mesma data.",PL-7151/2006,Arquivada,Prop_Detalhe.asp?id=326430
297,297, Jair Bolsonaro - PP/RJ.,2006-07-03,"Altera a redação do § 1º do art. 6º, da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre o registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Autoriza o porte de arma aos integrantes do quadro efetivo dos agentes e guardas prisionais, aos integrantes das escoltas de presos e às guardas portuárias, mesmo fora de serviço.",PL-7269/2006,Aguardando Designação de Relator,Prop_Detalhe.asp?id=329455
298,298, Jair Bolsonaro - PP/RJ.,2006-09-04,"Altera a redação do inciso I e revoga o § 5º do art. 10 da Lei nº 9.263, de 12 de janeiro de 1996, que regula o § 7º do art. 226 da Constituição Federal, que trata do planejamento familiar, estabelece penalidades e dá outras providências. Explicação: Reduz para 21 (vinte e um) anos a idade que permite esterelização voluntária e revoga o dispositivo que exige o consentimento do cônjuge em caso de sociedade conjugal.",PL-7438/2006,Arquivada,Prop_Detalhe.asp?id=332915
299,299, Jair Bolsonaro - PP/RJ.,2006-04-19,"Dá nova redação ao art. 1º e seu parágrafo único, da Lei Complementar nº 78, de 30 de dezembro de 1993, que disciplina a fixação do número de Deputados, nos termos do art. 45, § 1º, da Constituição Federal. Explicação: Garante 50% ( cinqüenta por cento) das vagas para Deputados Federais às populações negras e pardas.",PLP-354/2006,Aguardando Parecer,Prop_Detalhe.asp?id=321151
300,300, Jair Bolsonaro - PP/RJ e outros.,2006-01-26,Contra a apreciação conclusiva pela Comissão de Constituição e Justiça e de Cidadania sobre o Projeto de  Lei nº 2.654 de 2003.,REC-262/2006 => PL-2654/2003,Arquivada,Prop_Detalhe.asp?id=312648
301,301, Jair Bolsonaro - PP/RJ e outros.,2006-09-04,Contra a apreciação conclusiva pela Comissão de Constituição e Justiça e de Cidadania sobre o Projeto de  Lei nº 595 de 2003.,REC-303/2006 => PL-595/2003,Arquivada,Prop_Detalhe.asp?id=332950
302,302, Jair Bolsonaro - PP/RJ.,2006-03-28,"Requer que seu voto e dos demais deputados que desejarem, por ocasião das sessões destinadas à votação de parecer do Conselho de Ética que versem sobre cassação de mandato parlamentar, seja aberto e declarado.",REQ-3807/2006,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=318687
303,303, Jair Bolsonaro - PP/RJ e outros.,2006-04-03,"Requer a convocação de sessão solene da Câmara dos Deputados em homenagem ao Tenente-coronel da Aeronáutica Marcos César Pontes, primeiro Astronauta brasileiro, integrante da ""Missão Centenário"".",REQ-3825/2006,Arquivada,Prop_Detalhe.asp?id=319362
304,304, Jair Bolsonaro - PP/RJ e outros.,2006-11-07,Requer urgência na apreciação do PL nº 7486 de 2006,REQ-4367/2006 => PL-7486/2006,Arquivada,Prop_Detalhe.asp?id=335272
305,305, Jair Bolsonaro - PP/RJ.,2005-05-11,Acrescenta incisos ao art. 2º da MP,EMC-27/2005 MPV24905 => MPV-249/2005,,Prop_Detalhe.asp?id=286466
306,306, Jair Bolsonaro - PP/RJ.,2005-10-26,"Acrescenta novo art. 3º à presente Medida Provisória, renumerando-se os demais.",EMC-3/2005 MPV26305 => MPV-263/2005,,Prop_Detalhe.asp?id=305442
307,307, Jair Bolsonaro - PP/RJ.,2005-10-26,Acrescenta novo artigo à presente Medida Provisória.,EMC-4/2005 MPV26305 => MPV-263/2005,,Prop_Detalhe.asp?id=305443
308,308, Jair Bolsonaro - PP/RJ.,2005-08-18,Sugere ao Ministério da Defesa encaminhamento ao Chefe do Poder Executivo Proposta de Emenda Constitucional que crie Fundo próprio para organização e manutenção das Forças Armadas.,INC-5889/2005,Arquivada,Prop_Detalhe.asp?id=297319
309,309, Jair Bolsonaro - PP/RJ.,2005-12-07,"Sugere ao Poder Executivo o envio de Projeto de Lei que possibilite a isenção do Imposto sobre Produtos Industrializados - IPI, na aquisição de armas e munições para os integrantes  dos órgãos e entidades relacionados no Art. 6º da Lei nº 10.826, de 22 de dezembro de 2003.",INC-7203/2005,Arquivada,Prop_Detalhe.asp?id=309111
310,310, Jair Bolsonaro - PFL/RJ.,2005-03-31,"Dá nova redação ao art. 258 da Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro. Explicação: Fixando valores em Reais para as multas de trânsito.",PL-4983/2005,Arquivada,Prop_Detalhe.asp?id=280157
311,311, Jair Bolsonaro - PFL/RJ.,2005-04-14,"Dá nova redação ao art. 257 e seu § 7º, da Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro. Explicação: Inclui a expressão ""na data do cometimento da infração"" no caput do art. 257 e em seu § 7º da Lei nº 9.503, de 1997, visando tão somente evidenciar que a responsabilidade pelo pagamento da multa de trânsito é,  efetivamente, daquele que detinha a posse do veículo e não de proprietário posterior.",PL-5065/2005,Arquivada,Prop_Detalhe.asp?id=281890
312,312, Jair Bolsonaro - PP/RJ.,2005-05-18,"Altera a redação do inciso I do artigo 65 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal. Explicação: Excluindo da relação de circunstâncias atenuantes o fato do agente ter idade entre 18 (dezoito) e 21 (vinte e um) anos.",PL-5272/2005,Arquivada,Prop_Detalhe.asp?id=286143
313,313," Elimar Máximo Damasceno - PRONA/SP,Jair Bolsonaro - PP/RJ.",2005-06-27,Inscreve o nome do militar Mário Kozel Filho no Livro dos Heróis da Pátria,PL-5508/2005,Arquivada,Prop_Detalhe.asp?id=291958
314,314, Jair Bolsonaro - PP/RJ.,2005-09-01,"Dá nova redação ao inciso I, do art. 6º, da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre o registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Autoriza o porte de armas para Oficiais e Praças com estabilidade assegurada das Forças Armadas.",PL-5852/2005,Arquivada,Prop_Detalhe.asp?id=298952
315,315, Jair Bolsonaro - PP/RJ.,2005-11-08,"Revoga o § 2º, do art. 5º da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Revogando os requisitos exigidos para renovação do Certificado de Registro de Arma de Fogo.",PL-6161/2005,Aguardando Designação de Relator,Prop_Detalhe.asp?id=305543
316,316, Jair Bolsonaro - PP/RJ.,2005-11-08,"Altera a redação do art. 15 da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Estabelecendo que o disparo de arma de fogo em caso de legítima defesa própria ou de outrem não se configurará como  crime inafiançável.",PL-6162/2005,Tramitando em Conjunto,Prop_Detalhe.asp?id=305544
317,317, Jair Bolsonaro - PP/RJ.,2005-11-08,"Dá nova redação ao art. 25 da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Autorizando os órgãos de segurança pública a utilizarem armas e munições apreendidas ou encontradas.",PL-6163/2005,Arquivada,Prop_Detalhe.asp?id=305546
318,318, Jair Bolsonaro - PFL/RJ.,2005-04-26,"Solicita seja convocado o Sr. Ministro de Estado da Defesa para prestar esclarecimentos a esta Comissão sobre a situação da remuneração dos militares federais e, em especial, sobre a Medida Provisória nº 2.215-10, de 2001, e convidando para os mesmos fins os Comandantes da Marinha, do Exército e da Aeronáutica.",REQ-117/2005 CREDN,Arquivada,Prop_Detalhe.asp?id=283108
319,319, Jair Bolsonaro - PP/RJ.,2005-09-01,"Requer que esta Comissão solicite ao Tribunal de Contas da União auditoria operacional, financeira e contábil nas contas da Gerência Regional de Administração do Rio de Janeiro, órgão da Subsecretaria de Planejamento, Orçamento e Administração, do Ministério da Fazenda.",REQ-148/2005 CREDN,Arquivada,Prop_Detalhe.asp?id=299062
320,320, Jair Bolsonaro - PP/RJ.,2005-11-30,"REQUER que esta Comissão solicite ao Tribunal de Contas da União, sejam esclarecidas pela auditoria operacional, financeira e contábil nas contas da Gerência Regional de Administração do Rio de Janeiro, órgão da Subsecretaria de Planejamento, Orçamento e Administração, do Ministério da Fazenda, instalada por aquele órgão de controle, tendo em vista a aprovação do Requerimento nº 148, de 2005, os quesitos abaixo discriminados.",REQ-163/2005 CREDN,Arquivada,Prop_Detalhe.asp?id=307970
321,321, Jair Bolsonaro - PP/RJ.,2005-09-21,"Solicita seja convocado o Senhor Ministro de Estado da Justiça para prestar esclarecimentos a esta Comissão sobre registro, junto ao SINARM, das armas entregues ou apreendidas e encaminhadas ao Exército Brasileiro para fins de destruição.",REQ-277/2005 CSPCCO,Arquivada,Prop_Detalhe.asp?id=301018
322,322, Jair Bolsonaro - PFL/RJ.,2005-03-23,"Solicita, nos termos do art. 117, inciso XIX e § 4º, do Regimento Interno,  encaminhar para registro nos Anais desta Casa, voto de louvor ao Presidente da Indonésia, o Senhor Susilo Bambang Yudhoyono, em razão da condenação à pena de morte determinada pela Justiça de seu país, para o traficante de drogas brasileiro Marco Archer Cardoso Moreira.",REQ-96/2005 CREDN,Arquivada,Prop_Detalhe.asp?id=279375
323,323, Jair Bolsonaro - PFL/RJ.,2005-03-09,"Solicita informações ao Senhor Ministro de Estado da Defesa sobre demissão de militares do serviço ativo das Forças Armadas.

 Explicação: Ministro José Alencar.",RIC-2547/2005,Arquivada,Prop_Detalhe.asp?id=277758
324,324, Jair Bolsonaro - PP/RJ.,2005-08-18,"Solicita informações ao Senhor Ministro de Estado da Defesa sobre registro, junto ao Exército Brasileiro, do Deputado Federal - JOSÉ DIRCEU, como atirador para fins de regularização de armas particulares e freqüência em instrução de tiro naquela Força. Explicação: Ministro José Alencar.",RIC-3168/2005,Arquivada,Prop_Detalhe.asp?id=297317
325,325, Jair Bolsonaro - PP/RJ.,2005-08-18,Solicita informações ao Senhor Ministro da Defesa sobre dados relativos a auxílio-invalidez do pessoal das Forças Armadas. Explicação: Ministro José Alencar.,RIC-3174/2005,Arquivada,Prop_Detalhe.asp?id=297342
326,326, Jair Bolsonaro - PP/RJ.,2005-09-01,Solicita informações ao Senhor Ministro de Estado da Defesa sobre utilização de aeronaves da Força Aérea Brasileira pelo ex-Ministro-Chefe da Casa Civil - JOSÉ DIRCEU. Explicação: Ministro José Alencar.,RIC-3245/2005,Arquivada,Prop_Detalhe.asp?id=298953
327,327, Jair Bolsonaro - PP/RJ.,2005-09-15,Solicita informações ao Senhor Ministro de Estado de Defesa sobre dados relativos aos Fundos de Saúde das Forças Armadas. Explicação: Ministro José Alencar.,RIC-3271/2005,Arquivada,Prop_Detalhe.asp?id=300357
328,328, Jair Bolsonaro - PP/RJ.,2005-09-21,"Solicita informações ao Senhor Ministro de Estado da Defesa sobre registro, junto ao Exército Brasileiro, das armas encaminhadas pelo SINARM para fins de destruição. Explicação: Ministro José Alencar.",RIC-3291/2005,Arquivada,Prop_Detalhe.asp?id=301017
329,329, Jair Bolsonaro - PP/RJ.,2005-09-21,"Solicita informações ao Senhor Ministro de Estado da Justiça sobre registro, junto ao SINARM, das armas entregues ou apreendidas e encaminhadas ao Exército Brasileiro para fins de destruição. Explicação: Ministro Márcio Thomaz Bastos.",RIC-3292/2005,Arquivada,Prop_Detalhe.asp?id=301019
330,330, Jair Bolsonaro - PTB/RJ.,2004-03-11,,EMC-1/2004 MPV17204 => MPV-172/2004,,Prop_Detalhe.asp?id=157975
331,331, Jair Bolsonaro - PTB/RJ.,2004-03-14,,EMC-1/2004 MPV17604 => MPV-176/2004,,Prop_Detalhe.asp?id=249344
332,332, Jair Bolsonaro - PTB/RJ.,2004-05-05,"Emenda à MPV 182/04 que dispõe sobre o salário mínimo a partir de 1º de maio de 2004, e dá outras providências.",EMC-68/2004 => MPV-182/2004,,Prop_Detalhe.asp?id=252743
333,333, Jair Bolsonaro - PTB/RJ.,2003-10-22,,EMP-29/2004 => PL-1555/2003,,Prop_Detalhe.asp?id=150528
334,334, Jair Bolsonaro - PTB/RJ.,2003-10-22,,EMP-30/2004 => PL-1555/2003,,Prop_Detalhe.asp?id=150529
335,335, Jair Bolsonaro - PTB/RJ.,2004-08-25,"Dá nova redação ao art. 40 e seus incisos I e II, da Lei nº 10.741, de 1º de outubro de 2003, que ""dispõe sobre o Estatuto do Idoso e dá outras providências"". Explicação: Inclui a obrigatoriedade de reserva de vagas nos transportes aéreos e aquáticos; define um desconto de 50% sobre o menor preço praticado para os idosos que excederem as vagas gratuitas.",PL-4096/2004,Tramitando em Conjunto,Prop_Detalhe.asp?id=263332
336,336," Sérgio Miranda - PCdoB/MG,Alberto Fraga - PTB/DF,Alceu Collares - PDT/RS,Alice Portugal - PCdoB/BA,Almerinda de Carvalho - PMDB/RJ,Almir Moura - PL/RJ,Anderson Adauto - PL/MG,André de Paula - PFL/PE,André Luiz - PMDB/RJ,Aníbal Gomes - PMDB/CE,Anselmo - PT/RO,Antonio Cambraia - PSDB/CE,Antônio Carlos Biffi - PT/MS,Antonio Cruz - PTB/MS,Antonio Nogueira - PT/AP,Aracely de Paula - PL/MG,Ariosto Holanda - PSDB/CE,Arnaldo Faria de Sá - PTB/SP,Asdrubal Bentes - PMDB/PA,Athos Avelino - PPS/MG,Átila Lira - PSDB/PI,Augusto Nardes - PP/RS,B. Sá - PPS/PI,Babá - S.PART./PA,Beto Albuquerque - PSB/RS,Bosco Costa - PSDB/SE,Cabo Júlio - PSC/MG,Carlos Alberto Leréia - PSDB/GO,Carlos Melles - PFL/MG,Carlos Nader - PL/RJ,Carlos Santana - PT/RJ,Carlos Souza - PP/AM,Cezar Schirmer - PMDB/RS,Cleuber Carneiro,Colbert Martins - PPS/BA,Custódio Mattos - PSDB/MG,Daniel Almeida - PCdoB/BA,Darcísio Perondi - PMDB/RS,Dr. Francisco Gonçalves - PTB/MG,Dr. Heleno - PP/RJ,Dr. Hélio - PDT/SP,Edison Andrino - PMDB/SC,Edna Macedo - PTB/SP,Eduardo Barbosa - PSDB/MG,Eduardo Paes - PSDB/RJ,Eliseu Padilha - PMDB/RS,Eliseu Resende - PFL/MG,Enéas - PRONA/SP,Enio Bacci - PDT/RS,Enivaldo Ribeiro - PP/PB,Érico Ribeiro - PP/RS,FAUSTO ROCHA                                      ,Fernando Diniz - PMDB/MG,Fernando Ferro - PT/PE,Fernando Gabeira - S.PART./RJ,Francisco Appio - PP/RS,Francisco Garcia - PP/AM,Francisco Turra - PP/RS,Gastão Vieira - PMDB/MA,Geraldo Thadeu - PPS/MG,Gilberto Nascimento - PMDB/SP,Gonzaga Mota - PSDB/CE,Gonzaga Patriota - PSB/PE,Gustavo Fruet - S.PART./PR,Henrique Fontana - PT/RS,Hermes Parcianello - PMDB/PR,Inácio Arruda - PCdoB/CE,Inocêncio Oliveira - PFL/PE,Isaías Silvestre - PSB/MG,Ivan Paixão - PPS/SE,Jackson Barreto - PTB/SE,Jair Bolsonaro - PTB/RJ,Jamil Murad - PCdoB/SP,Jandira Feghali - PCdoB/RJ,João Batista - PFL/SP,João Campos - PSDB/GO,João Magalhães - PMDB/MG,João Magno - PT/MG,João Matos - PMDB/SC,João Mendes de Jesus - PSL/RJ,Joaquim Francisco - PTB/PE,Jorge Alberto - PMDB/SE,Jorge Gomes - PSB/PE,José Carlos Elias - PTB/ES,José Ivo Sartori - PMDB/RS,José Mendonça Bezerra - PFL/PE,José Múcio Monteiro - PTB/PE,JOSE PINOTTI                                      ,José Priante - PMDB/PA,José Roberto Arruda - PFL/DF,José Santana de Vasconcellos - PL/MG,Josias Quintal - PMDB/RJ,Josué Bengtson - PTB/PA,Jovair Arantes - PTB/GO,Juíza Denise Frossard - S.PART./RJ,Júlio Cesar - PFL/PI,Júlio Delgado - PPS/MG,Júlio Redecker - PSDB/RS,Lael Varella - PFL/MG,Laura Carneiro - PFL/RJ,Leandro Vilela - PMDB/GO,Leodegar Tiscoski - PP/SC,Leonardo Mattos - PV/MG,Leonardo Monteiro - PT/MG,Leonardo Picciani - PMDB/RJ,Lobbe Neto - PSDB/SP,Luciana Genro - S.PART./RS,Luis Carlos Heinze - PP/RS,Luiz Antonio Fleury - PTB/SP,Luiz Bittencourt - PMDB/GO,Luiz Carlos Hauly - PSDB/PR,Luiz Carreira - PFL/BA,Luiz Piauhylino - S.PART./PE,Luiza Erundina - PSB/SP,Lupércio Ramos - PPS/AM,Manato - PDT/ES,Marcelino Fraga - PMDB/ES,Marcelo Castro - PMDB/PI,Márcio Reinaldo Moreira - PP/MG,Marcos de Jesus - PL/PE,Marcus Vicente - PTB/ES,Maria do Carmo Lara - PT/MG,Maria Lucia - PMDB/RJ,Marinha Raupp - PMDB/RO,Mário Assad Júnior - PL/MG,Mário Heringer - PDT/MG,Maurício Rabelo - PL/TO,Mauro Benevides - PMDB/CE,Mendes Ribeiro Filho - PMDB/RS,Michel Temer - PMDB/SP,Miguel de Souza - PL/RO,Milton Cardias - PTB/RS,Milton Monti - PL/SP,Miro Teixeira - PPS/RJ,Moraes Souza - PMDB/PI,Narcio Rodrigues - PSDB/MG,Nazareno Fonteles - PT/PI,Nélio Dias - PP/RN,Nelson Marquezelli - PTB/SP,Nelson Meurer - PP/PR,Nelson Pellegrino - PT/BA,Nelson Trad - PMDB/MS,Neucimar Fraga - PL/ES,Nilson Mourão - PT/AC,Nilton Baiano - PP/ES,Nilton Capixaba - PTB/RO,Odair - PT/MG,Odelmo Leão - PP/MG,Olavo Calheiros - PMDB/AL,Orlando Desconsi - PT/RS,Osmânio Pereira - PTB/MG,Osvaldo Biolchi - PMDB/RS,Osvaldo Coelho - PFL/PE,Paes Landim - PTB/PI,Pastor Amarildo - PSC/TO,Pastor Francisco Olímpio - PSB/PE,Pastor Reinaldo - PTB/RS,Paulo Afonso - PMDB/SC,Paulo Baltazar - PSB/RJ,Paulo Feijó - PSDB/RJ,Paulo Marinho - PL/MA,Paulo Rocha - PT/PA,Paulo Rubem Santiago - PT/PE,Pedro Chaves - PMDB/GO,Pompeo de Mattos - PDT/RS,Professora Raquel Teixeira - PSDB/GO,Reginaldo Lopes - PT/MG,Reinaldo Betão - PL/RJ,Remi Trinta - PL/MA,Renato Casagrande - PSB/ES,Renildo Calheiros - PCdoB/PE,Ricardo Izar - PTB/SP,Romel Anizio - PP/MG,Romeu Queiroz - PTB/MG,Rommel Feijó - PTB/CE,Ronaldo Caiado - PFL/GO,Ronaldo Vasconcellos - PTB/MG,Rose de Freitas - PMDB/ES,Sandes Júnior - PP/GO,Severiano Alves - PDT/BA,Severino Cavalcanti - PP/PE,Simplício Mário - PT/PI,Tarcisio Zimmermann - PT/RS,Teté Bezerra - PMDB/MT,Vander Loubet - PT/MS,Vanessa Grazziotin - PCdoB/AM,Vicente Arruda - PSDB/CE,Vieira Reis - PMDB/RJ,Vilmar Rocha - PFL/GO,Virgílio Guimarães - PT/MG,Vittorio Medioli - PSDB/MG,Waldemir Moka - PMDB/MS,Walter Pinheiro - PT/BA,Wasny de Roure - PT/DF,Yeda Crusius - PSDB/RS,Zarattini - PT/SP,Zelinda Novaes - PFL/BA,Zenaldo Coutinho - PSDB/PA,Zonta - PP/SC.",2004-12-02,"Regulamenta o Art. 8º da Constituição Federal, que dispõe sobre a organização sindical, e dá outras providências. Explicação: Altera e revoga dispositivos da CLT - Decreto-lei nº 5.452, de 1943.  Regulamenta o artigo oitavo da Constituição Federal.",PL-4554/2004,Arquivada,Prop_Detalhe.asp?id=271935
337,337, Jair Bolsonaro - PTB/RJ e outros.,2004-12-15,Requer a realização de Sessão Solene em homenagem aos militares que morreram na luta contra os guerrilheiros do Araguaia.,REQ-2392/2004,Arquivada,Prop_Detalhe.asp?id=273757
338,338, Jair Bolsonaro - PTB/RJ e outros.,2003-07-03,"Modifica os arts. 37, 40, 42, 48, 96, 142 e 149 da Constituição Federal, o art. 8º da Emenda Constitucional nº 20, de 15 de dezembro de 1998, e dá outras providências.",EMC-136/2003 PEC04003 => PEC-40/2003,,Prop_Detalhe.asp?id=123093
339,339, Jair Bolsonaro - PTB/RJ e outros.,2003-07-03,"Acrescenta ao texto do art. 40, proposto no art. 1º, da Proposta de Emenda à Constituição nº 40, de 2003, um § 19.",EMC-137/2003 PEC04003 => PEC-40/2003,,Prop_Detalhe.asp?id=123087
340,340, Jair Bolsonaro - PTB/RJ e outros.,2003-07-03,Inclui um § 2º no art. 5º para isentar de contribuição previdenciária a remuneração paga pelo exercício de cargo de livre nomeação e exoneração na forma que especifica.,EMC-138/2003 PEC04003 => PEC-40/2003,,Prop_Detalhe.asp?id=123090
341,341, Jair Bolsonaro.,2003-02-21,,EMC-27/2003 MPV10303 => MPV-103/2003,,Prop_Detalhe.asp?id=105560
342,342, Jair Bolsonaro - PTB/RJ e outros.,2003-06-12,"Suprima-se a expressão ""e 40, § 7º"" do texto propsoto para o art. 142, §3º inciso IX da Constituição Federal.",EMC-3/2003 PEC04003 => PEC-40/2003,,Prop_Detalhe.asp?id=119688
